"Label (Grouping)","Population 16 years and over","Population 16 years and over!!AGE","Population 16 years and over!!AGE!!16 to 19 years","Population 16 years and over!!AGE!!20 to 24 years","Population 16 years and over!!AGE!!25 to 29 years","Population 16 years and over!!AGE!!30 to 34 years","Population 16 years and over!!AGE!!35 to 44 years","Population 16 years and over!!AGE!!45 to 54 years","Population 16 years and over!!AGE!!55 to 59 years","Population 16 years and over!!AGE!!60 to 64 years","Population 16 years and over!!AGE!!65 to 74 years","Population 16 years and over!!AGE!!75 years and over","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Population 20 to 64 years","Population 20 to 64 years!!SEX","Population 20 to 64 years!!SEX!!Male","Population 20 to 64 years!!SEX!!Female","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17  years","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children 6 to 17 years only","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level","Population 20 to 64 years!!DISABILITY STATUS","Population 20 to 64 years!!DISABILITY STATUS!!With any disability","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5.9%","","19.4%","11.2%","7.9%","6.5%","4.7%","3.7%","3.2%","2.5%","3.0%","3.0%","","4.5%","9.5%","7.8%","2.8%","20.2%","5.3%","10.9%","4.9%","4.6%","5.5%","","5.4%","5.6%","5.9%","7.6%","7.7%","4.7%","","23.2%","3.7%","","12.4%","","4.8%","11.1%","6.1%","4.6%","2.1%"
"        Margin of Error","±0.1","","±1.0","±0.5","±0.4","±0.4","±0.2","±0.2","±0.3","±0.3","±0.3","±1.0","","±0.1","±0.3","±2.1","±0.6","±9.1","±1.2","±1.0","±0.5","±0.1","±0.1","","±0.2","±0.2","±0.3","±0.8","±0.8","±0.4","","±0.8","±0.1","","±0.6","","±0.1","±0.7","±0.3","±0.2","±0.1"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","571,681","","36,633","54,462","62,205","57,119","93,384","90,697","50,085","44,513","56,287","26,296","","386,923","19,519","77,952","36,696","6,430","8,920","35,241","35,664","366,050","452,465","","239,235","213,230","76,623","19,487","18,800","38,336","","42,819","399,081","","48,637","","398,003","25,241","113,321","142,845","116,596"
"        Margin of Error","±527","","±571","±453","±374","±359","±551","±549","±1,046","±1,050","±353","±266","","±1,426","±596","±1,054","±587","±316","±1,218","±1,520","±230","±607","±453","","±413","±429","±1,231","±822","±771","±1,191","","±1,477","±1,468","","±1,513","","±497","±1,048","±2,137","±2,168","±2,129"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","68.6%","","43.8%","81.2%","82.6%","81.0%","83.1%","82.0%","73.2%","59.6%","30.4%","8.1%","","69.7%","74.7%","57.7%","73.0%","74.4%","79.3%","69.0%","75.4%","69.4%","78.9%","","83.1%","74.2%","72.0%","66.8%","64.3%","78.5%","","52.7%","82.5%","","52.2%","","78.6%","58.2%","72.8%","80.5%","86.3%"
"        Margin of Error","±0.4","","±1.8","±1.4","±0.9","±1.1","±0.9","±0.8","±1.3","±1.5","±1.1","±0.9","","±0.4","±2.1","±1.0","±1.7","±3.9","±3.1","±1.7","±1.7","±0.4","±0.4","","±0.5","±0.6","±1.1","±2.6","±2.2","±1.3","","±1.8","±0.4","","±1.8","","±0.4","±2.1","±0.7","±0.7","±0.6"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","60.8%","","32.6%","60.0%","70.4%","71.2%","75.8%","76.5%","69.5%","56.9%","29.0%","7.9%","","62.8%","62.2%","46.7%","68.4%","65.0%","68.2%","59.7%","63.7%","62.7%","70.2%","","71.3%","68.9%","67.0%","61.4%","58.1%","74.3%","","36.1%","75.5%","","44.7%","","71.5%","50.1%","65.1%","72.4%","81.4%"
"        Margin of Error","±0.4","","±1.8","±1.7","±1.2","±1.4","±1.0","±0.9","±1.4","±1.6","±1.1","±0.9","","±0.5","±2.7","±1.0","±1.8","±3.8","±4.4","±2.0","±1.9","±0.5","±0.5","","±0.7","±0.6","±1.0","±2.3","±2.0","±1.5","","±1.7","±0.5","","±1.7","","±0.5","±2.1","±0.9","±0.8","±0.8"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7.2%","","20.7%","12.9%","7.8%","6.3%","5.5%","5.8%","5.1%","4.6%","4.8%","2.3%","","5.2%","4.7%","18.8%","4.1%","8.7%","6.5%","10.8%","6.4%","5.2%","6.7%","","7.4%","5.8%","5.8%","6.0%","7.9%","4.9%","","30.6%","5.0%","","12.7%","","5.9%","13.9%","9.4%","5.6%","2.2%"
"        Margin of Error","±0.3","","±2.5","±1.4","±0.8","±0.7","±0.6","±0.5","±0.9","±1.1","±0.9","±1.7","","±0.3","±1.6","±1.0","±0.9","±3.7","±4.3","±1.5","±1.5","±0.3","±0.4","","±0.4","±0.4","±0.6","±1.3","±1.5","±0.8","","±2.1","±0.3","","±1.5","","±0.3","±1.8","±0.6","±0.5","±0.4"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,600,921","","380,244","488,145","501,361","463,586","866,788","847,362","427,508","419,179","700,520","506,228","","4,419,177","243,885","234,043","194,082","11,386","344,238","154,110","1,565,759","3,293,587","4,013,929","","2,015,226","1,998,703","700,010","150,385","157,046","392,579","","553,128","3,371,019","","418,972","","3,525,784","458,201","823,506","1,205,119","1,038,958"
"        Margin of Error","±1,801","","±2,012","±908","±492","±435","±572","±479","±3,428","±3,397","±360","±278","","±8,917","±1,917","±2,758","±1,925","±482","±7,667","±3,601","±1,342","±1,169","±906","","±511","±771","±4,795","±3,008","±2,428","±3,945","","±6,871","±6,845","","±4,745","","±572","±5,944","±6,724","±8,300","±8,383"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59.7%","","39.6%","76.1%","80.3%","79.5%","79.6%","78.8%","68.9%","52.1%","21.9%","5.6%","","58.7%","66.1%","53.3%","63.9%","64.6%","67.8%","66.2%","66.0%","56.4%","75.1%","","80.2%","70.0%","69.6%","68.2%","60.0%","74.1%","","48.5%","81.1%","","42.3%","","74.9%","60.4%","69.8%","76.3%","83.9%"
"        Margin of Error","±0.1","","±0.6","±0.5","±0.5","±0.5","±0.3","±0.3","±0.5","±0.5","±0.3","±0.2","","±0.2","±0.7","±0.8","±0.7","±3.4","±0.7","±0.9","±0.3","±0.2","±0.2","","±0.2","±0.3","±0.4","±0.9","±0.9","±0.5","","±0.6","±0.1","","±0.5","","±0.2","±0.6","±0.4","±0.3","±0.3"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","55.9%","","31.3%","67.7%","74.3%","74.7%","75.8%","75.5%","65.9%","50.1%","21.0%","5.4%","","55.3%","59.8%","46.2%","61.1%","59.4%","62.9%","59.1%","61.4%","53.3%","70.7%","","75.2%","66.1%","65.6%","63.3%","55.5%","70.5%","","38.6%","77.7%","","37.0%","","71.1%","55.3%","65.2%","72.4%","81.2%"
"        Margin of Error","±0.1","","±0.6","±0.6","±0.6","±0.6","±0.3","±0.4","±0.5","±0.5","±0.3","±0.2","","±0.2","±0.9","±0.8","±0.7","±3.6","±0.7","±1.0","±0.3","±0.2","±0.2","","±0.2","±0.3","±0.5","±0.9","±1.0","±0.6","","±0.5","±0.2","","±0.5","","±0.2","±0.6","±0.4","±0.3","±0.2"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5.9%","","20.3%","9.5%","6.6%","5.3%","4.2%","4.1%","4.3%","3.9%","4.1%","4.4%","","5.3%","8.5%","13.2%","3.9%","6.1%","6.6%","9.7%","6.6%","4.9%","5.3%","","5.3%","5.3%","5.6%","6.8%","7.2%","4.7%","","20.3%","3.8%","","12.4%","","4.7%","8.3%","6.3%","4.5%","2.7%"
"        Margin of Error","±0.1","","±0.7","±0.5","±0.3","±0.3","±0.2","±0.2","±0.3","±0.3","±0.3","±0.8","","±0.1","±0.7","±0.7","±0.5","±2.3","±0.4","±0.7","±0.2","±0.1","±0.1","","±0.1","±0.1","±0.3","±0.6","±0.7","±0.3","","±0.6","±0.1","","±0.5","","±0.1","±0.5","±0.3","±0.2","±0.1"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,374,747","","160,796","202,312","202,000","189,817","368,457","371,811","195,220","185,556","290,373","208,405","","1,865,428","349,442","16,020","36,398","5,734","55,531","46,194","146,214","1,780,153","1,715,173","","848,356","866,817","317,580","71,350","67,823","178,407","","267,556","1,406,080","","263,727","","1,512,861","178,982","504,599","465,807","363,473"
"        Margin of Error","±1,066","","±1,451","±1,058","±981","±962","±1,116","±894","±2,125","±2,305","±800","±569","","±2,272","±1,319","±942","±792","±371","±2,155","±1,736","±454","±923","±1,239","","±1,038","±938","±3,350","±2,133","±1,682","±2,790","","±4,450","±4,729","","±3,137","","±1,223","±3,572","±5,453","±4,481","±5,604"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","58.1%","","35.7%","72.2%","79.8%","79.2%","78.6%","74.5%","65.2%","49.3%","22.5%","6.3%","","57.6%","57.6%","53.4%","67.4%","68.5%","70.7%","60.0%","69.4%","57.0%","72.5%","","76.7%","68.3%","72.8%","70.1%","65.9%","76.5%","","44.0%","79.7%","","35.2%","","72.5%","53.7%","67.2%","75.7%","85.0%"
"        Margin of Error","±0.2","","±0.9","±0.9","±0.7","±0.6","±0.5","±0.6","±0.8","±0.7","±0.5","±0.3","","±0.3","±0.6","±2.9","±1.7","±4.5","±1.7","±1.7","±0.9","±0.3","±0.3","","±0.3","±0.4","±0.6","±1.5","±1.4","±0.7","","±0.9","±0.3","","±0.8","","±0.3","±0.9","±0.4","±0.5","±0.4"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","54.9%","","28.7%","65.0%","74.5%","74.6%","75.0%","72.1%","63.3%","48.1%","22.0%","6.2%","","54.9%","52.2%","49.9%","65.6%","63.8%","66.8%","54.1%","66.1%","54.3%","68.8%","","72.6%","65.1%","69.2%","65.1%","62.3%","73.5%","","35.7%","76.9%","","31.7%","","69.4%","49.4%","63.9%","72.2%","83.1%"
"        Margin of Error","±0.3","","±0.9","±1.0","±0.8","±0.7","±0.5","±0.6","±0.8","±0.7","±0.5","±0.3","","±0.3","±0.6","±3.1","±1.7","±5.0","±1.8","±1.8","±0.9","±0.3","±0.3","","±0.4","±0.4","±0.7","±1.5","±1.5","±0.8","","±0.8","±0.3","","±0.8","","±0.3","±1.0","±0.4","±0.5","±0.4"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5.1%","","19.3%","9.4%","5.9%","5.3%","4.2%","3.1%","2.9%","2.3%","2.4%","2.8%","","4.3%","9.0%","5.9%","2.3%","6.4%","5.4%","9.1%","4.5%","4.4%","4.6%","","4.8%","4.5%","4.8%","6.9%","5.5%","3.8%","","18.8%","3.2%","","9.7%","","4.0%","7.8%","4.9%","4.1%","1.8%"
"        Margin of Error","±0.1","","±1.4","±0.6","±0.5","±0.4","±0.3","±0.2","±0.3","±0.3","±0.4","±1.0","","±0.1","±0.5","±2.2","±0.7","±3.1","±1.1","±1.2","±0.6","±0.1","±0.1","","±0.2","±0.2","±0.4","±0.8","±0.7","±0.4","","±0.8","±0.1","","±0.7","","±0.1","±0.8","±0.3","±0.3","±0.2"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,284,669","","2,061,559","2,751,567","3,078,492","2,889,372","5,205,887","5,101,422","2,473,228","2,237,101","3,172,271","2,313,770","","19,002,551","1,846,975","240,406","4,788,550","124,743","4,105,548","1,175,896","11,163,792","12,555,574","23,737,069","","11,947,693","11,789,376","4,075,279","897,410","834,098","2,343,771","","2,805,803","20,561,373","","1,893,356","","20,985,502","3,337,617","4,288,037","6,105,002","7,254,846"
"        Margin of Error","±4,066","","±4,070","±1,354","±1,016","±1,117","±1,168","±939","±7,355","±7,304","±802","±710","","±23,263","±5,132","±5,136","±6,068","±1,943","±27,931","±15,456","±3,003","±3,303","±1,539","","±1,242","±1,030","±18,415","±9,328","±6,118","±13,921","","±19,312","±19,677","","±11,173","","±1,150","±17,589","±26,133","±15,138","±32,785"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63.7%","","30.2%","72.0%","81.9%","82.4%","81.7%","80.2%","72.2%","57.3%","26.8%","6.6%","","62.8%","60.3%","59.3%","63.6%","66.4%","68.5%","66.8%","66.9%","61.2%","77.1%","","83.1%","71.0%","69.1%","67.8%","61.1%","72.5%","","48.5%","82.0%","","42.0%","","77.7%","65.5%","73.1%","78.1%","85.8%"
"        Margin of Error","±0.1","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.2","±0.2","±0.2","±0.1","","±0.1","±0.3","±0.7","±0.1","±1.1","±0.1","±0.4","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.2","±0.4","±0.4","±0.2","","±0.3","±0.1","","±0.3","","±0.1","±0.2","±0.2","±0.1","±0.1"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59.4%","","23.2%","62.7%","75.5%","77.4%","77.5%","76.4%","68.9%","54.9%","25.8%","6.3%","","58.8%","53.3%","53.1%","60.5%","61.4%","63.6%","61.0%","62.1%","57.6%","72.2%","","77.6%","66.8%","65.0%","63.4%","56.4%","68.6%","","38.0%","78.0%","","36.6%","","73.5%","60.6%","68.2%","73.5%","82.5%"
"        Margin of Error","±0.1","","±0.2","±0.3","±0.2","±0.2","±0.1","±0.1","±0.2","±0.2","±0.2","±0.1","","±0.1","±0.3","±0.7","±0.1","±1.1","±0.2","±0.3","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.2","±0.4","±0.4","±0.2","","±0.2","±0.1","","±0.3","","±0.1","±0.2","±0.2","±0.1","±0.1"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6.1%","","21.5%","10.8%","6.7%","5.3%","4.7%","4.6%","4.6%","4.3%","3.9%","4.4%","","5.7%","10.4%","9.8%","4.6%","6.7%","6.8%","7.9%","6.9%","5.1%","5.7%","","5.6%","5.8%","5.9%","6.1%","7.5%","5.4%","","21.5%","4.4%","","12.7%","","5.0%","7.5%","6.4%","5.2%","3.4%"
"        Margin of Error","±0.1","","±0.4","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","","±0.1","±0.3","±0.6","±0.1","±0.7","±0.1","±0.3","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","±0.3","±0.1","","±0.2","±0.1","","±0.3","","±0.1","±0.1","±0.1","±0.1","±0.1"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,489,308","","285,752","377,977","439,062","432,438","764,183","713,520","364,162","338,508","478,345","295,361","","3,824,023","181,614","44,581","145,039","6,805","163,531","123,715","857,622","3,190,274","3,429,850","","1,748,411","1,681,439","588,956","138,299","118,130","332,527","","331,656","3,037,736","","292,416","","3,051,873","245,575","632,736","902,166","1,271,396"
"        Margin of Error","±1,555","","±1,865","±1,156","±905","±800","±1,016","±980","±3,061","±3,069","±523","±494","","±5,112","±1,778","±1,742","±1,249","±496","±4,099","±2,863","±884","±1,349","±1,393","","±1,109","±941","±3,691","±2,761","±2,182","±3,524","","±4,700","±4,795","","±3,914","","±1,086","±4,104","±6,550","±5,952","±7,962"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","68.4%","","45.3%","80.7%","86.1%","84.4%","84.9%","84.0%","76.1%","60.7%","28.9%","7.5%","","68.2%","68.3%","62.3%","68.0%","70.8%","71.4%","72.1%","69.3%","68.1%","81.0%","","86.0%","75.9%","73.5%","70.0%","63.1%","78.7%","","53.2%","85.2%","","50.8%","","81.1%","67.2%","74.8%","80.6%","87.2%"
"        Margin of Error","±0.1","","±0.8","±0.5","±0.4","±0.4","±0.3","±0.3","±0.5","±0.5","±0.4","±0.3","","±0.2","±0.7","±1.7","±0.7","±4.2","±0.9","±0.9","±0.3","±0.2","±0.2","","±0.2","±0.2","±0.4","±0.9","±1.1","±0.5","","±0.8","±0.2","","±0.7","","±0.2","±0.7","±0.4","±0.3","±0.1"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","64.7%","","37.9%","72.4%","80.8%","79.9%","81.3%","81.1%","73.5%","58.8%","28.1%","7.3%","","64.8%","61.7%","56.9%","65.1%","62.6%","66.6%","66.1%","64.9%","64.8%","77.0%","","81.1%","72.7%","70.6%","66.9%","60.1%","75.9%","","43.8%","82.0%","","45.0%","","77.6%","63.2%","70.8%","76.5%","84.4%"
"        Margin of Error","±0.1","","±0.7","±0.6","±0.4","±0.5","±0.3","±0.3","±0.5","±0.5","±0.4","±0.3","","±0.2","±0.9","±1.8","±0.8","±4.7","±1.0","±0.8","±0.3","±0.2","±0.2","","±0.2","±0.2","±0.4","±1.0","±1.1","±0.5","","±0.8","±0.2","","±0.7","","±0.2","±0.8","±0.5","±0.3","±0.2"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4.3%","","14.6%","7.0%","4.4%","4.1%","3.3%","3.2%","3.4%","3.2%","2.9%","2.7%","","4.0%","6.9%","8.1%","3.4%","6.2%","6.0%","6.5%","5.5%","3.8%","3.9%","","4.0%","3.8%","3.6%","3.6%","4.4%","3.4%","","17.5%","3.0%","","10.6%","","3.6%","5.8%","4.9%","3.8%","2.5%"
"        Margin of Error","±0.1","","±0.8","±0.3","±0.3","±0.3","±0.2","±0.2","±0.2","±0.2","±0.3","±0.6","","±0.1","±0.7","±1.3","±0.4","±2.7","±0.6","±0.6","±0.2","±0.1","±0.1","","±0.1","±0.1","±0.2","±0.5","±0.6","±0.3","","±0.8","±0.1","","±0.6","","±0.1","±0.4","±0.3","±0.2","±0.1"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,924,968","","197,276","244,597","221,103","220,639","424,739","508,428","264,804","242,329","336,422","264,631","","2,273,943","303,342","7,604","131,281","822","139,561","68,415","414,774","2,037,491","2,126,639","","1,050,132","1,076,507","366,401","78,303","62,235","225,863","","194,057","1,885,935","","181,303","","1,882,042","147,729","478,990","477,570","777,753"
"        Margin of Error","±1,138","","±1,187","±615","±337","±396","±451","±411","±2,661","±2,633","±343","±338","","±3,886","±2,410","±669","±1,078","±201","±4,052","±2,879","±657","±1,307","±564","","±471","±412","±3,351","±1,927","±1,810","±2,758","","±3,927","±3,857","","±3,473","","±429","±3,300","±6,464","±4,063","±6,638"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","66.4%","","40.5%","76.0%","85.6%","85.9%","86.0%","84.2%","78.9%","66.8%","32.5%","8.6%","","65.7%","67.9%","64.3%","68.7%","84.7%","70.1%","69.4%","69.6%","65.3%","81.3%","","84.9%","77.8%","78.8%","76.3%","73.3%","81.1%","","50.3%","85.7%","","47.3%","","82.0%","63.4%","77.2%","83.5%","87.5%"
