"Label (Grouping)","Occupied housing units","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino","Occupied housing units!!AGE OF HOUSEHOLDER","Occupied housing units!!AGE OF HOUSEHOLDER!!Under 35 years","Occupied housing units!!AGE OF HOUSEHOLDER!!35 to 44 years","Occupied housing units!!AGE OF HOUSEHOLDER!!45 to 54 years","Occupied housing units!!AGE OF HOUSEHOLDER!!55 to 64 years","Occupied housing units!!AGE OF HOUSEHOLDER!!65 to 74 years","Occupied housing units!!AGE OF HOUSEHOLDER!!75 to 84 years","Occupied housing units!!AGE OF HOUSEHOLDER!!85 years and over","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2017 or later","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2015 to 2016","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 to 2014","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1989 or earlier"
"        Estimate","583,145","","","311,480","241,072","2,733","8,962","305","9,522","9,071","26,691","296,278","","209,080","114,400","92,630","80,580","51,227","23,724","11,504","","95,741","176,601","199,918","110,885","","115,768","163,285","192,446","75,699","19,390","16,557"
"        Margin of Error","±5,328","","","±3,871","±3,237","±403","±648","±116","±819","±671","±1,094","±3,660","","±3,202","±2,484","±2,117","±2,081","±1,353","±1,070","±808","","±2,254","±3,442","±3,564","±2,576","","±2,549","±3,159","±3,348","±1,754","±936","±848"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","583,145","","","53.4%","41.3%","0.5%","1.5%","0.1%","1.6%","1.6%","4.6%","50.8%","","35.9%","19.6%","15.9%","13.8%","8.8%","4.1%","2.0%","","16.4%","30.3%","34.3%","19.0%","","19.9%","28.0%","33.0%","13.0%","3.3%","2.8%"
"        Margin of Error","±5,328","","","±0.4","±0.4","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.4","","±0.5","±0.4","±0.3","±0.3","±0.2","±0.2","±0.1","","±0.3","±0.5","±0.5","±0.5","","±0.4","±0.4","±0.4","±0.3","±0.2","±0.1"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","253,346","","","184,437","8,218","29,726","11,608","2,029","3,487","13,841","14,574","175,492","","58,788","45,616","47,637","52,189","33,312","12,040","3,764","","14,506","59,763","97,012","82,065","","29,506","42,681","64,397","59,790","29,416","27,556"
"        Margin of Error","±1,463","","","±1,435","±440","±768","±513","±240","±489","±820","±606","±1,474","","±1,091","±779","±744","±735","±637","±488","±255","","±677","±1,404","±1,864","±1,664","","±1,114","±1,306","±1,279","±1,438","±957","±812"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","253,346","","","72.8%","3.2%","11.7%","4.6%","0.8%","1.4%","5.5%","5.8%","69.3%","","23.2%","18.0%","18.8%","20.6%","13.1%","4.8%","1.5%","","5.7%","23.6%","38.3%","32.4%","","11.6%","16.8%","25.4%","23.6%","11.6%","10.9%"
"        Margin of Error","±1,463","","","±0.5","±0.2","±0.3","±0.2","±0.1","±0.2","±0.3","±0.2","±0.5","","±0.3","±0.3","±0.3","±0.3","±0.3","±0.2","±0.1","","±0.3","±0.5","±0.7","±0.6","","±0.4","±0.5","±0.5","±0.5","±0.4","±0.3"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","162,996","","","126,118","3,092","17,630","6,564","545","1,572","7,475","7,088","121,623","","20,113","28,951","33,290","40,497","27,129","10,061","2,955","","8,057","34,996","58,889","61,054","","8,527","15,698","35,456","49,759","27,157","26,399"
"        Margin of Error","±1,930","","","±1,529","±402","±605","±473","±138","±338","±596","±502","±1,517","","±733","±796","±934","±769","±672","±460","±266","","±543","±1,012","±1,714","±1,464","","±636","±709","±1,215","±1,315","±898","±824"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","162,996","","","77.4%","1.9%","10.8%","4.0%","0.3%","1.0%","4.6%","4.3%","74.6%","","12.3%","17.8%","20.4%","24.8%","16.6%","6.2%","1.8%","","4.9%","21.5%","36.1%","37.5%","","5.2%","9.6%","21.8%","30.5%","16.7%","16.2%"
"        Margin of Error","±1,930","","","±0.6","±0.2","±0.3","±0.3","±0.1","±0.2","±0.4","±0.3","±0.6","","±0.4","±0.4","±0.5","±0.4","±0.4","±0.3","±0.2","","±0.3","±0.6","±0.9","±0.8","","±0.4","±0.4","±0.7","±0.7","±0.5","±0.5"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90,350","","","58,319","5,126","12,096","5,044","1,484","1,915","6,366","7,486","53,869","","38,675","16,665","14,347","11,692","6,183","1,979","809","","6,449","24,767","38,123","21,011","","20,979","26,983","28,941","10,031","2,259","1,157"
"        Margin of Error","±1,815","","","±1,273","±503","±570","±470","±254","±357","±574","±642","±1,154","","±1,157","±701","±748","±652","±491","±235","±150","","±583","±1,169","±1,273","±1,024","","±895","±1,204","±963","±737","±346","±182"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90,350","","","64.5%","5.7%","13.4%","5.6%","1.6%","2.1%","7.0%","8.3%","59.6%","","42.8%","18.4%","15.9%","12.9%","6.8%","2.2%","0.9%","","7.1%","27.4%","42.2%","23.3%","","23.2%","29.9%","32.0%","11.1%","2.5%","1.3%"
"        Margin of Error","±1,815","","","±0.9","±0.5","±0.6","±0.5","±0.3","±0.4","±0.6","±0.6","±1.0","","±1.0","±0.7","±0.7","±0.6","±0.5","±0.3","±0.2","","±0.6","±1.1","±1.2","±1.0","","±0.9","±1.1","±1.0","±0.7","±0.4","±0.2"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,571,268","","","2,109,650","108,736","86,934","77,081","3,705","124,247","60,915","596,116","1,672,581","","494,241","428,001","449,339","473,488","415,855","230,273","80,071","","268,958","525,801","929,484","847,025","","322,797","467,619","725,211","611,851","266,431","177,359"
"        Margin of Error","±6,669","","","±5,658","±1,501","±1,284","±1,353","±335","±2,819","±1,723","±3,182","±4,711","","±4,589","±2,944","±2,722","±3,036","±2,341","±1,941","±1,661","","±4,139","±4,568","±5,897","±6,395","","±4,223","±4,531","±5,901","±5,008","±3,124","±2,561"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,571,268","","","82.0%","4.2%","3.4%","3.0%","0.1%","4.8%","2.4%","23.2%","65.0%","","19.2%","16.6%","17.5%","18.4%","16.2%","9.0%","3.1%","","10.5%","20.4%","36.1%","32.9%","","12.6%","18.2%","28.2%","23.8%","10.4%","6.9%"
"        Margin of Error","±6,669","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,656,756","","","1,428,332","37,621","47,678","46,754","1,437","65,036","29,898","321,232","1,188,841","","163,278","241,304","300,476","358,348","341,817","193,260","58,273","","140,351","312,872","577,901","625,632","","125,497","195,410","395,960","521,111","250,229","168,549"
"        Margin of Error","±9,014","","","±7,436","±1,105","±1,095","±1,176","±242","±1,867","±1,121","±3,794","±5,935","","±3,159","±2,667","±3,099","±2,923","±2,358","±1,994","±1,524","","±2,534","±3,501","±5,005","±5,839","","±2,373","±3,062","±4,260","±5,009","±2,922","±2,439"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,656,756","","","86.2%","2.3%","2.9%","2.8%","0.1%","3.9%","1.8%","19.4%","71.8%","","9.9%","14.6%","18.1%","21.6%","20.6%","11.7%","3.5%","","8.5%","18.9%","34.9%","37.8%","","7.6%","11.8%","23.9%","31.5%","15.1%","10.2%"
"        Margin of Error","±9,014","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.2","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","914,512","","","681,318","71,115","39,256","30,327","2,268","59,211","31,017","274,884","483,740","","330,963","186,697","148,863","115,140","74,038","37,013","21,798","","128,607","212,929","351,583","221,393","","197,300","272,209","329,251","90,740","16,202","8,810"
"        Margin of Error","±5,115","","","±5,626","±1,538","±1,181","±1,174","±300","±1,928","±1,402","±3,242","±4,157","","±3,711","±3,213","±2,699","±2,496","±1,762","±1,198","±959","","±2,904","±3,266","±3,849","±3,160","","±3,182","±3,724","±4,343","±2,324","±881","±737"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","914,512","","","74.5%","7.8%","4.3%","3.3%","0.2%","6.5%","3.4%","30.1%","52.9%","","36.2%","20.4%","16.3%","12.6%","8.1%","4.0%","2.4%","","14.1%","23.3%","38.4%","24.2%","","21.6%","29.8%","36.0%","9.9%","1.8%","1.0%"
"        Margin of Error","±5,115","","","±0.4","±0.2","±0.1","±0.1","±0.1","±0.2","±0.2","±0.3","±0.3","","±0.4","±0.3","±0.3","±0.3","±0.2","±0.1","±0.1","","±0.3","±0.3","±0.4","±0.3","","±0.3","±0.4","±0.4","±0.2","±0.1","±0.1"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,158,071","","","916,720","174,264","7,270","14,065","1,856","22,072","21,824","58,587","881,899","","235,698","188,494","200,743","220,497","177,865","98,681","36,093","","140,691","360,927","370,622","285,831","","127,390","187,262","280,835","283,292","142,040","137,252"
"        Margin of Error","±4,555","","","±4,006","±1,642","±589","±555","±211","±1,051","±981","±1,086","±3,581","","±2,801","±1,967","±1,799","±1,819","±1,646","±1,355","±1,061","","±2,588","±3,906","±3,724","±3,882","","±2,475","±3,408","±3,823","±3,424","±2,224","±2,249"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,158,071","","","79.2%","15.0%","0.6%","1.2%","0.2%","1.9%","1.9%","5.1%","76.2%","","20.4%","16.3%","17.3%","19.0%","15.4%","8.5%","3.1%","","12.1%","31.2%","32.0%","24.7%","","11.0%","16.2%","24.3%","24.5%","12.3%","11.9%"
"        Margin of Error","±4,555","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.3","±0.3","±0.3","±0.2","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","759,455","","","648,485","75,824","4,319","7,664","123","11,396","11,644","30,601","629,907","","83,039","114,549","141,431","166,048","146,148","82,092","26,148","","80,138","231,536","232,283","215,498","","40,531","69,498","150,579","238,665","131,152","129,030"
"        Margin of Error","±5,101","","","±4,195","±1,461","±486","±439","±80","±748","±662","±1,038","±3,916","","±1,814","±1,910","±2,207","±1,965","±1,490","±1,188","±901","","±1,821","±2,938","±3,211","±3,554","","±1,471","±1,846","±2,561","±3,278","±2,132","±2,217"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","759,455","","","85.4%","10.0%","0.6%","1.0%","0.0%","1.5%","1.5%","4.0%","82.9%","","10.9%","15.1%","18.6%","21.9%","19.2%","10.8%","3.4%","","10.6%","30.5%","30.6%","28.4%","","5.3%","9.2%","19.8%","31.4%","17.3%","17.0%"
"        Margin of Error","±5,101","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.3","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.4","±0.4","±0.4","","±0.2","±0.2","±0.3","±0.3","±0.3","±0.3"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","398,616","","","268,235","98,440","2,951","6,401","1,733","10,676","10,180","27,986","251,992","","152,659","73,945","59,312","54,449","31,717","16,589","9,945","","60,553","129,391","138,339","70,333","","86,859","117,764","130,256","44,627","10,888","8,222"
"        Margin of Error","±3,696","","","±3,024","±1,853","±380","±612","±198","±858","±799","±1,014","±2,864","","±2,444","±1,894","±2,025","±1,489","±1,195","±771","±673","","±1,934","±2,998","±2,668","±1,769","","±2,238","±2,947","±2,738","±1,581","±685","±569"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","398,616","","","67.3%","24.7%","0.7%","1.6%","0.4%","2.7%","2.6%","7.0%","63.2%","","38.3%","18.6%","14.9%","13.7%","8.0%","4.2%","2.5%","","15.2%","32.5%","34.7%","17.6%","","21.8%","29.5%","32.7%","11.2%","2.7%","2.1%"
"        Margin of Error","±3,696","","","±0.5","±0.4","±0.1","±0.2","±0.1","±0.2","±0.2","±0.2","±0.4","","±0.5","±0.4","±0.4","±0.4","±0.3","±0.2","±0.2","","±0.5","±0.7","±0.6","±0.4","","±0.5","±0.7","±0.7","±0.4","±0.2","±0.1"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,044,266","","","8,491,976","818,832","96,536","1,811,767","40,613","1,347,444","437,098","3,811,789","6,231,619","","2,397,064","2,437,385","2,597,827","2,489,586","1,784,608","922,043","415,753","","1,758,791","2,261,114","4,040,023","4,984,338","","1,265,701","1,935,685","3,560,545","3,105,646","1,617,527","1,559,162"
"        Margin of Error","±20,333","","","±16,044","±4,219","±2,178","±7,238","±959","±8,015","±6,198","±9,674","±10,337","","±9,298","±7,953","±5,721","±6,217","±5,728","±5,557","±3,943","","±10,877","±12,945","±12,533","±27,504","","±8,602","±9,940","±10,998","±13,074","±10,166","±8,953"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,044,266","","","65.1%","6.3%","0.7%","13.9%","0.3%","10.3%","3.4%","29.2%","47.8%","","18.4%","18.7%","19.9%","19.1%","13.7%","7.1%","3.2%","","13.5%","17.3%","31.0%","38.2%","","9.7%","14.8%","27.3%","23.8%","12.4%","12.0%"
"        Margin of Error","±20,333","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,154,580","","","4,995,683","284,566","47,048","1,074,491","18,082","532,881","201,829","1,670,449","3,949,696","","566,126","1,101,081","1,515,429","1,696,127","1,307,422","683,854","284,541","","693,891","1,096,054","2,205,659","3,158,976","","346,198","600,602","1,405,783","2,078,799","1,309,419","1,413,779"
"        Margin of Error","±37,872","","","±25,551","±3,486","±1,420","±7,951","±775","±4,679","±3,833","±14,822","±16,322","","±7,584","±11,476","±9,095","±6,937","±6,001","±4,838","±3,241","","±4,939","±7,168","±14,010","±24,902","","±4,128","±6,082","±11,906","±12,876","±9,203","±8,648"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,154,580","","","69.8%","4.0%","0.7%","15.0%","0.3%","7.4%","2.8%","23.3%","55.2%","","7.9%","15.4%","21.2%","23.7%","18.3%","9.6%","4.0%","","9.7%","15.3%","30.8%","44.2%","","4.8%","8.4%","19.6%","29.1%","18.3%","19.8%"
"        Margin of Error","±37,872","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,889,686","","","3,496,293","534,266","49,488","737,276","22,531","814,563","235,269","2,141,340","2,281,923","","1,830,938","1,336,304","1,082,398","793,459","477,186","238,189","131,212","","1,064,900","1,165,060","1,834,364","1,825,362","","919,503","1,335,083","2,154,762","1,026,847","308,108","145,383"
"        Margin of Error","±21,311","","","±14,850","±4,774","±1,586","±5,260","±907","±7,623","±3,642","±9,807","±10,236","","±8,065","±8,920","±7,688","±6,483","±4,839","±3,034","±2,407","","±9,921","±11,351","±9,531","±8,274","","±8,596","±9,751","±11,339","±7,318","±3,565","±2,464"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,889,686","","","59.4%","9.1%","0.8%","12.5%","0.4%","13.8%","4.0%","36.4%","38.7%","","31.1%","22.7%","18.4%","13.5%","8.1%","4.0%","2.2%","","18.1%","19.8%","31.1%","31.0%","","15.6%","22.7%","36.6%","17.4%","5.2%","2.5%"
"        Margin of Error","±21,311","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,148,994","","","1,871,862","80,945","20,395","57,754","2,663","63,701","51,674","344,882","1,614,843","","476,139","397,443","390,424","404,862","292,081","133,340","54,705","","144,982","394,246","668,719","941,047","","271,348","388,963","575,374","495,101","236,119","182,089"
"        Margin of Error","±5,236","","","±4,767","±1,261","±1,001","±1,140","±282","±1,758","±1,514","±2,427","±4,239","","±3,521","±2,079","±2,286","±2,353","±2,207","±1,623","±1,183","","±2,871","±4,747","±4,318","±6,567","","±3,767","±4,685","±5,159","±4,138","±3,170","±2,312"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,148,994","","","87.1%","3.8%","0.9%","2.7%","0.1%","3.0%","2.4%","16.0%","75.1%","","22.2%","18.5%","18.2%","18.8%","13.6%","6.2%","2.5%","","6.7%","18.3%","31.1%","43.8%","","12.6%","18.1%","26.8%","23.0%","11.0%","8.5%"
"        Margin of Error","±5,236","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,401,735","","","1,267,110","32,103","10,101","35,398","1,225","29,098","26,700","173,842","1,133,758","","166,288","250,003","282,613","317,965","241,552","107,491","35,823","","68,502","232,317","406,251","694,665","","96,280","166,826","321,483","421,051","221,236","174,859"
"        Margin of Error","±7,774","","","±6,643","±1,062","±732","±943","±244","±1,200","±1,300","±2,995","±5,612","","±2,863","±2,476","±2,666","±2,397","±1,991","±1,449","±1,089","","±1,584","±3,186","±3,762","±6,152","","±2,180","±2,914","±4,009","±3,831","±2,988","±2,332"
