,"Black, non-Hispanic",2851,2849,2778,2781,2760
,"Hispanic, any race",1094,1164,1227,1263,1262
,"Other race(s), non-Hispanic",285,304,290,327,308
,Missing,*,*,*,*,*
KENTUCKY,"White, non-Hispanic",16258,17411,17760,17729,17395
,"Black, non-Hispanic",4738,4853,4972,4893,4853
,"Hispanic, any race",196,209,216,206,224
,"Other race(s), non-Hispanic",257,286,304,309,326
,Missing,253,263,290,293,285
LOUISIANA,"White, non-Hispanic",*,*,*,*,*
,"Black, non-Hispanic",*,*,*,*,*
,"Hispanic, any race",95,89,89,89,70
,"Other race(s), non-Hispanic",*,*,*,*,*
,Missing,36282,35593,33650,32308,31539
MAINE,"White, non-Hispanic",1948,2043,1985,1963,1778
,"Black, non-Hispanic",192,213,252,261,228
,"Hispanic, any race",*,*,*,*,*
,"Other race(s), non-Hispanic",101,106,110,129,100
,Missing,38,42,57,72,79
MARYLAND,"White, non-Hispanic",4889,4838,4603,4333,4093
,"Black, non-Hispanic",12689,12610,12421,12324,12364
,"Hispanic, any race",648,638,660,704,757
,"Other race(s), non-Hispanic",390,285,285,285,283
,Missing,2148,1622,1398,1209,1098
MASSACHUSETTS,"White, non-Hispanic",3927,3691,3561,3425,3093
,"Black, non-Hispanic",2607,2491,2400,2259,2212
,"Hispanic, any race",2618,2508,2530,2427,2360
,"Other race(s), non-Hispanic",285,257,227,204,188
,Missing,485,457,414,376,352
MICHIGAN,"White, non-Hispanic",*,*,*,*,*
,"Black, non-Hispanic",*,*,*,*,*
,"Hispanic, any race",1563,1559,1523,1556,*
,"Other race(s), non-Hispanic",*,*,*,*,*
,Missing,41065,39563,38143,37205,*
MINNESOTA,"White, non-Hispanic",4955,4982,5039,4634,4655
,"Black, non-Hispanic",3828,3652,3723,3679,3630
,"Hispanic, any race",707,688,635,600,564
,"Other race(s), non-Hispanic",1301,1259,1307,1182,1125
,Missing,*,11,*,*,*
MISSISSIPPI,"White, non-Hispanic",6396,6779,6952,6977,7122
,"Black, non-Hispanic",12283,12167,11903,12025,12033
,"Hispanic, any race",143,153,131,147,132
,"Other race(s), non-Hispanic",68,65,65,79,75
,Missing,21,28,53,48,55
MISSOURI,"White, non-Hispanic",19204,19345,19385,17968,14950
,"Black, non-Hispanic",10185,9799,9323,8180,7221
,"Hispanic, any race",602,606,674,619,543
,"Other race(s), non-Hispanic",172,157,166,157,124
,Missing,2167,2554,3054,3445,3206
MONTANA,"White, non-Hispanic",1261,1785,2713,2747,3346
,"Black, non-Hispanic",29,50,90,88,130
,"Hispanic, any race",13,*,36,71,127
,"Other race(s), non-Hispanic",313,479,831,847,1103
,Missing,2069,1491,28,13,16
NEBRASKA,"White, non-Hispanic",2949,2842,2790,2863,2922
,"Black, non-Hispanic",1434,1487,1520,1540,1573
,"Hispanic, any race",674,666,702,766,831
,"Other race(s), non-Hispanic",306,298,295,318,354
,Missing,*,*,*,*,*
NEVADA,"White, non-Hispanic",5617,5739,5708,5609,5181
,"Black, non-Hispanic",3711,4090,4182,4222,3996
,"Hispanic, any race",2843,2973,2958,2955,2857
,"Other race(s), non-Hispanic",636,696,650,673,646
,Missing,265,258,222,182,159
NEW HAMPSHIRE,"White, non-Hispanic",2442,2351,*,*,*
,"Black, non-Hispanic",194,211,*,*,*
,"Hispanic, any race",181,185,*,*,*
,"Other race(s), non-Hispanic",23,21,*,*,*
,Missing,56,50,*,*,*
NEW JERSEY,"White, non-Hispanic",4689,4408,4302,4250,*
,"Black, non-Hispanic",12349,12031,11952,11831,*
,"Hispanic, any race",3221,3095,3037,2944,*
,"Other race(s), non-Hispanic",141,136,137,136,*
,Missing,89,116,158,201,*
NEW MEXICO,"White, non-Hispanic",1754,*,1832,*,*
,"Black, non-Hispanic",508,*,506,*,*
,"Hispanic, any race",4273,*,4399,*,*
,"Other race(s), non-Hispanic",519,*,501,*,*
,Missing,49,*,39,*,*
NEW YORK,"White, non-Hispanic",12912,12669,12303,11470,10633
,"Black, non-Hispanic",25534,24827,24218,22852,21405
,"Hispanic, any race",11545,11465,11259,10670,9962
,"Other race(s), non-Hispanic",1411,1487,1441,1383,1271
,Missing,325,269,240,261,229
NORTH CAROLINA,"White, non-Hispanic",13500,13222,13687,13239,12892
,"Black, non-Hispanic",18218,17675,17796,16783,16366
,"Hispanic, any race",1876,1844,1940,1918,1881
,"Other race(s), non-Hispanic",1000,946,944,923,862
,Missing,2024,2010,2027,2037,2077
NORTH DAKOTA,"White, non-Hispanic",1163,1135,1077,1051,1093
,"Black, non-Hispanic",139,165,170,186,183
,"Hispanic, any race",99,103,99,101,110
,"Other race(s), non-Hispanic",373,367,356,335,387
,Missing,22,21,22,21,21
OHIO,"White, non-Hispanic",27553,27451,26621,26036,26128
,"Black, non-Hispanic",23006,23016,22994,22534,22303
,"Hispanic, any race",1264,1291,1346,1392,1391
,"Other race(s), non-Hispanic",344,377,434,455,503
,Missing,67,39,84,14,14
OKLAHOMA,"White, non-Hispanic",3979,3853,3137,2685,2528
,"Black, non-Hispanic",2505,2436,1993,1713,1592
,"Hispanic, any race",2203,2338,2150,2054,2032
,"Other race(s), non-Hispanic",734,721,574,492,460
,Missing,19127,20568,20288,20013,19066
OREGON,"White, non-Hispanic",*,*,11248,11063,10749
,"Black, non-Hispanic",*,*,1366,1438,1439
,"Hispanic, any race",*,*,1887,2004,2017
,"Other race(s), non-Hispanic",*,*,711,727,706
,Missing,*,*,*,36,50
PENNSYLVANIA,"White, non-Hispanic",20661,20807,20679,20408,20013
,"Black, non-Hispanic",23591,23005,22420,21792,20866
,"Hispanic, any race",5267,5094,4884,4661,4442
,"Other race(s), non-Hispanic",183,174,167,164,160
,Missing,156,165,184,213,221
RHODE ISLAND,"White, non-Hispanic",1419,1332,1231,1191,1170
,"Black, non-Hispanic",974,933,842,823,791
,"Hispanic, any race",757,747,694,649,677
,"Other race(s), non-Hispanic",97,90,93,104,102
,Missing,*,*,*,*,*
SOUTH CAROLINA,"White, non-Hispanic",7189,7486,7149,6960,6856
,"Black, non-Hispanic",12894,12511,11921,11206,10854
,"Hispanic, any race",436,463,464,458,491
,"Other race(s), non-Hispanic",189,178,172,176,164
,Missing,222,220,199,234,244
SOUTH DAKOTA,"White, non-Hispanic",*,*,*,*,*
,"Black, non-Hispanic",*,*,*,*,*
,"Hispanic, any race",*,*,*,*,*
,"Other race(s), non-Hispanic",*,*,*,*,*
,Missing,3564,3831,3970,3948,3801
TENNESSEE,"White, non-Hispanic",15591,15820,16625,15222,15293
,"Black, non-Hispanic",11937,11756,11707,10484,10418
,"Hispanic, any race",551,532,541,504,532
,"Other race(s), non-Hispanic",33,35,32,37,41
,Missing,61,60,76,74,66
TEXAS,"White, non-Hispanic",52774,53038,52752,53461,51998
,"Black, non-Hispanic",54501,54041,52959,52894,51098
,"Hispanic, any race",55775,55737,55942,56408,54477
,"Other race(s), non-Hispanic",852,885,870,864,856
,Missing,*,*,*,*,*
UTAH,"White, non-Hispanic",4154,3848,3880,4133,3960
,"Black, non-Hispanic",372,361,365,382,396
,"Hispanic, any race",1414,1406,1423,1551,1560
,"Other race(s), non-Hispanic",254,252,250,274,279
,Missing,302,307,302,311,470
VERMONT,"White, non-Hispanic",1500,1485,1339,1430,1408
,"Black, non-Hispanic",172,174,133,156,138
,"Hispanic, any race",22,*,10,10,*
,"Other race(s), non-Hispanic",17,31,28,20,21
,Missing,39,36,35,42,36
VIRGINIA,"White, non-Hispanic",15278,15082,15168,15124,15011
,"Black, non-Hispanic",21979,21580,20847,20323,19802
,"Hispanic, any race",962,964,938,1005,1071
,"Other race(s), non-Hispanic",168,173,184,187,185
,Missing,16,15,21,21,22
WASHINGTON,"White, non-Hispanic",12170,12657,8107,5947,4679
,"Black, non-Hispanic",3276,3461,2481,1911,1606
,"Hispanic, any race",1083,1080,781,614,521
,"Other race(s), non-Hispanic",1636,1792,1204,896,706
,Missing,119,113,7083,10155,11750
WEST VIRGINIA,"White, non-Hispanic",6092,6166,6120,5818,5868
,"Black, non-Hispanic",859,892,866,847,828
,"Hispanic, any race",*,31,40,33,28
,"Other race(s), non-Hispanic",72,63,63,73,69
,Missing,86,11,*,*,*
WISCONSIN,"White, non-Hispanic",10655,10665,10993,10953,10880
,"Black, non-Hispanic",9254,9556,9741,9993,9927
,"Hispanic, any race",2042,2038,2003,1890,1875
,"Other race(s), non-Hispanic",1015,1110,1198,1215,1261
,Missing,*,*,10,13,13
WYOMING,"White, non-Hispanic",1856,1798,1876,1921,1872
,"Black, non-Hispanic",131,130,122,126,128
,"Hispanic, any race",294,289,312,325,302
,"Other race(s), non-Hispanic",144,155,163,172,175
,Missing,*,*,*,*,*
DISTRICT OF COLUMBIA,NA,NA,NA,NA,NA,NA
